Pattern_ID,Pattern_Name,Usage_Count,Success_Rate,Avg_Confidence_Boost,Processing_Time_ms,Last_Used,Error_Count,False_Positive_Rate,Effectiveness_Score,Status,Optimization_Notes
1,Fcbruar_to_Februari,156,0.94,0.22,2.3,2024-01-15,9,0.03,0.91,ACTIVE,High success rate - keep enabled
2,io8_to_100,89,0.87,0.25,1.8,2024-01-14,12,0.05,0.82,ACTIVE,Good performance in handwriting
3,9025_to_2025,234,0.91,0.18,1.5,2024-01-15,21,0.04,0.87,ACTIVE,Effective for year corrections
4,Backtick_Removal,445,0.98,0.12,0.8,2024-01-15,8,0.01,0.97,ACTIVE,Very reliable - low processing time
5,Mahkamah_Detection,67,0.96,0.28,3.2,2024-01-12,3,0.02,0.94,ACTIVE,Excellent for legal documents
6,Phone_Validation,23,0.78,0.15,4.1,2024-01-10,5,0.08,0.70,REVIEW,Lower success rate - needs optimization
7,NIK_Validation,45,0.89,0.20,2.7,2024-01-13,5,0.04,0.85,ACTIVE,Good validation accuracy
8,Currency_Format,178,0.85,0.16,2.1,2024-01-14,27,0.06,0.79,ACTIVE,Acceptable performance
9,Address_Boost,134,0.82,0.19,3.5,2024-01-11,24,0.07,0.75,REVIEW,Moderate effectiveness
10,Time_Format,56,0.93,0.14,1.9,2024-01-13,4,0.03,0.90,ACTIVE,High accuracy for time
11,Email_Detection,12,0.75,0.12,5.2,2024-01-08,3,0.10,0.65,DISABLED,Low usage and accuracy
12,Case_Number_Format,89,0.92,0.24,2.8,2024-01-14,7,0.03,0.89,ACTIVE,Excellent for legal docs
13,Month_Name_Boost,267,0.88,0.21,1.6,2024-01-15,32,0.05,0.83,ACTIVE,Good for Indonesian dates
14,Title_Detection,78,0.86,0.17,2.4,2024-01-12,11,0.05,0.81,ACTIVE,Reliable name title detection
15,Punctuation_Clean,523,0.95,0.11,0.9,2024-01-15,26,0.02,0.93,ACTIVE,High volume and reliability
